PRE_Reason,POST_Reason,fly_name_reference,date,reference_hour,machine_name,CS,US,Dilution,food,region_id,Files,PRE_ROI,POST_ROI,Genotype,Gender,Age,interactor,Training,comment on SD,User,experiment,PRE_1,PRE_2,PRE,POST_1,POST_2,POST,SD_status,interval
,,2023-07-10_16-10-48(ET_1h)_ROI_1,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),1,1,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,-0.333333333333333,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_2,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),2,2,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.272727272727273,-0.111111111111111,-0.191919191919192,-1,-1,-1,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_3,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),3,3,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.2,0,-0.1,-0.714285714285714,-0.5,-0.607142857142857,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_4,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),4,4,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,0.6,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_5,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),5,5,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,NA,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_6,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),6,6,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.142857142857143,0,,-0.6,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_7,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),7,7,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.333333333333333,,-1,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_8,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),8,8,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_9,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),9,9,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,0,-0.166666666666667,NA,-1,-1,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_10,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),10,10,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,-0.0714285714285714,-0.5,-0.142857142857143,-0.321428571428571,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_11,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),11,11,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,,NA,-0.2,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_12,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),12,12,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.2,,NA,-1,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_13,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),13,13,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,-0.0714285714285714,-0.333333333333333,-0.5,-0.416666666666667,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_14,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),14,14,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,0,-0.25,-0.333333333333333,-0.291666666666667,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_15,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),15,15,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.2,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_16,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),16,16,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-1,-0.2,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_17,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),17,17,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.2,0.2,,NA,-1,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_18,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),18,18,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.142857142857143,0.0714285714285714,-0.666666666666667,-0.5,-0.583333333333333,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_19,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),19,19,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.2,0.2,0,-1,-1,-1,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_20,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),20,20,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,0,-0.666666666666667,-0.666666666666667,-0.666666666666667,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_1,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),1,1,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,0,-0.2,0,-0.1,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_2,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),2,2,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.333333333333333,-0.333333333333333,,NA,NA,,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_3,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),3,3,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0.142857142857143,0,-0.333333333333333,0,-0.166666666666667,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_4,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),4,4,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,-0.0714285714285714,-1,-0.142857142857143,-0.5714285714,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_5,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),5,5,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.2,0.2,0.2,-0.333333333333333,NA,-0.33,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_6,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),6,6,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0,-0.0714285714285714,-0.2,-0.2,-0.2,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_7,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),7,7,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.142857142857143,0,0.0714285714285714,-0.5,NA,-0.5,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_8,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),8,8,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.0769230769230769,,NA,0.2,,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_9,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),9,9,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.111111111111111,0.111111111111111,,NA,NA,,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_10,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),10,10,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,0,-1,NA,-1,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_11,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),11,11,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.2,0.1,-0.5,-0.333333333333333,-0.416666666666667,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_12,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),12,12,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0.333333333333333,0.0952380952380952,-0.2,-0.2,-0.2,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_13,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),13,13,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,,NA,NA,,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_14,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),14,14,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,0.333333333333333,,NA,NA,,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_15,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),15,15,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.111111111111111,-0.2,-0.0444444444444445,-0.2,0,-0.1,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_16,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),16,16,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,0.2,,NA,-0.333333333333333,,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_17,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),17,17,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.333333333333333,,NA,NA,,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_18,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),18,18,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.142857142857143,0.0714285714285714,NA,-0.2,-0.2,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_19,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),19,19,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,0,-0.2,-0.333333333333333,-0.266666666666667,NONE,No_stimulator
,,2023-07-17_16-23-00(ET_1h)_ROI_20,,,,OCT,75V 0Ω,500,NONE,,2023-07-17_16-23-00(ET_1h),20,20,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0.142857142857143,0,-0.5,0,-0.25,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_1,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),1,1,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.142857142857143,0.0714285714285714,-1,NA,-1,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_2,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),2,2,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,-0.142857142857143,,NA,-0.333333333333333,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_3,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),3,3,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.5,-0.142857142857143,0.178571428571429,0.142857142857143,0.333333333333333,0.238095238095238,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_4,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),4,4,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.111111111111111,0,-0.0555555555555556,0,-0.142857142857143,-0.0714285714285714,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_5,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),5,5,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,NA,,NA,NA,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_6,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),6,6,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.5,0.0909090909090909,-0.204545454545454,NA,0.111111111111111,0.111,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_7,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),7,7,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0,-0.0714285714285714,-1,-0.333333333333333,-0.666666666666667,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_8,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),8,8,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,NA,0,,NA,0.6,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_9,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),9,9,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.6,0,-0.3,-0.5,-0.333333333333333,-0.416666666666667,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_10,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),10,10,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.111111111111111,0.142857142857143,,NA,NA,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_11,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),11,11,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,NA,0,,NA,NA,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_12,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),12,12,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0,,NA,NA,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_13,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),13,13,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,,NA,0.142857142857143,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_14,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),14,14,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.333333333333333,1,,NA,NA,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_15,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),15,15,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,,NA,NA,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_16,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),16,16,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,0,-0.2,0.142857142857143,-0.0285714285714286,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_17,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),17,17,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.428571428571429,0,,NA,NA,,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_18,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),18,18,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.2,-0.142857142857143,-0.171428571428571,-0.333333333333333,-0.333333333333333,-0.333333333333333,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_19,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),19,19,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,-0.25,-0.291666666666667,-0.333333333333333,NA,-0.33,NONE,No_stimulator
,,2023-07-19_15-04-46(ET_1h)_ROI_20,,,,OCT,75V 0Ω,500,NONE,,2023-07-19_15-04-46(ET_1h),20,20,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.111111111111111,-0.25,-0.0694444444444444,-0.33,0,-0.165,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_1,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),1,1,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_2,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),2,2,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_3,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),3,3,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_4,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),4,4,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,,-0.333333333333333,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_5,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),5,5,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.111111111111111,-0.0555555555555556,0,-0.2,-0.1,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_6,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),6,6,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,NA,0.333333333333333,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_7,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),7,7,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_8,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),8,8,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_9,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),9,9,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.333333333333333,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_10,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),10,10,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.2,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_11,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),11,11,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_12,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),12,12,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,NA,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_13,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),13,13,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.5,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_14,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),14,14,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.111111111111111,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_15,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),15,15,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,0,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_16,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),16,16,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,NA,NA,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_17,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),17,17,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.111111111111111,-0.0555555555555556,-1,0.428571428571429,-0.285714285714286,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_18,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),18,18,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.111111111111111,,NA,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_19,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),19,19,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,NA,NA,,-0.5,NA,,NONE,No_stimulator
,,2023-09-12_15-08-10(ET_1hr_STM)_ROI_20,,,,OCT,75V 0Ω,500,NONE,,2023-09-12_15-08-10(ET_1hr_STM),20,20,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.142857142857143,-0.2,,NA,NA,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_1,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),1,1,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0,0,0,NA,0.5,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_2,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),2,2,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,NA,-1,,NA,NA,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_3,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),3,3,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,NA,0.2,0.14,-0.111111111111111,0,-0.0555555555555556,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_4,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),4,4,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0.5,0,,-0.333333333333333,NA,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_5,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),5,5,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0.6,0.428571428571429,0.514285714285714,-1,0.2,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_6,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),6,6,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0.25,0,0.125,0,0,0,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_7,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),7,7,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0.0909090909090909,0.25,,-0.333333333333333,NA,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_8,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),8,8,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0.2,0,0.1,0,0,0,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_9,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),9,9,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0.142857142857143,0,0.0714285714285714,-0.2,0,-0.1,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_10,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),10,10,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,-0.333333333333333,NA,,NA,NA,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_11,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),11,11,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,NA,NA,,NA,NA,,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_12,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),12,12,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,1,0.142857142857143,0.571428571428571,-0.111111111111111,1,0.17,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_13,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),13,13,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,-0.142857142857143,0.111111111111111,-0.0158730158730159,-0.2,0,-0.1,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_14,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),14,14,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0,0,0,0,0.2,0.1,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_15,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),15,15,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0.25,-0.333333333333333,-0.0416666666666667,-0.6,0.111111111111111,-0.244444444444444,NONE,No_stimulator
,,2023-06-27_16-34-26(ET_3h)_ROI_16,,,,OCT,75V 0Ω,500,NONE,,2023-06-27_16-34-26(ET_3h),16,16,Iso31,FALSE,4,NONE,1X,NONE,ET,3hr STM,0,0.111111111111111,0.0555555555555556,0,0.5,0.25,NONE,No_stimulator
